id_med;nome;preco;lab;uni_emb;formato;dosagem;quantidade;;;;
5370473;Ropinirol Generis;39,18;Generis Farmacêutica, S.A.;84;Comp. libert. prolong.;4 mg;0;;;;
5370523;Ropinirol Generis;63,43;Generis Farmacêutica, S.A.;84;Comp. libert. prolong.;8 mg;0;;;;
5682406;Finasterida Biorga;50;Laboratoires Bailleul, S.A.;84;Comp. revest. p/ película;1 mg;0;;;;
5631270;Pregabalina Krka;37,96;KRKA d.d., Novo mesto;84;Cáps.;100 mg;0;;;;
5635941;Pregabalina Pharmakern;37,36;Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.;84;Cáps.;100 mg;0;;;;
5627732;Drosdiol;8,09;Mylan, Lda.;84;Comp. revest. p/ película;3 mg + 0.02 mg;0;;;;
5636071;Pregabalina Pharmakern;54,84;Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.;84;Cáps.;200 mg;0;;;;
5637707;Pregabalina Alter;26,05;Alter, S.A.;84;Cáps.;100 mg;0;;;;
5475231;Ropinirol Aurovitas;60,61;Generis Farmacêutica, S.A.;84;Comp. libert. prolong.;8 mg;0;;;;
5475173;Ropinirol Aurovitas;37,56;Generis Farmacêutica, S.A.;84;Comp. libert. prolong.;4 mg;0;;;;
5656400;Pregabalina Mylan;44,65;Generics (UK), Ltd.;84;Cáps.;200 mg;0;;;;
5656368;Pregabalina Mylan;26,05;Generics (UK), Ltd.;84;Cáps.;100 mg;0;;;;
5669361;Pregabalina Azevedos;21,2;Laboratórios Azevedos - Indústria Farmacêutica, S.A.;84;Cáps.;100 mg;0;;;;
5669429;Pregabalina Azevedos;36,34;Laboratórios Azevedos - Indústria Farmacêutica, S.A.;84;Cáps.;200 mg;0;;;;
5664867;Pregabalina Aurovitas;23,5;Generis Farmacêutica, S.A.;84;Cáps.;100 mg;0;;;;
5664909;Pregabalina Aurovitas;40,28;Generis Farmacêutica, S.A.;84;Cáps.;200 mg;0;;;;
5639356;Pregabalina Teva;44,65;Teva Pharma - Produtos Farmacêuticos, Lda.;84;Cáps.;200 mg;0;;;;
5639331;Pregabalina Teva;26,05;Teva Pharma - Produtos Farmacêuticos, Lda.;84;Cáps.;100 mg;0;;;;
5641311;Pregabalina ratiopharm;33,71;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;84;Cáps.;100 mg;0;;;;
5641543;Pregabalina ratiopharm;54,84;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;84;Cáps.;200 mg;0;;;;
5637822;Pregabalina Gática;26,84;Alter, S.A.;84;Cáps.;100 mg;0;;;;
5647466;Pregabalina Bluepharma;26,05;Bluepharma Genéricos - Comércio de Medicamentos, S.A.;84;Cáps.;100 mg;0;;;;
5660907;Pregabalina Zentiva;24,74;Zentiva k.s.;84;Cáps.;100 mg;0;;;;
5660931;Pregabalina Zentiva;42,41;Zentiva k.s.;84;Cáps.;200 mg;0;;;;
5707112;Ropinirol Mylan;22,97;Mylan, Lda.;84;Comp. libert. prolong.;4 mg;0;;;;
5078589;Ciproterona + Etinilestradiol Generis;5,58;Generis Farmacêutica, S.A.;63;Comp. revest.;2 mg + 0.035 mg;0;;;;
5994488;Effiplen;5,39;Laboratórios EFFIK, Sociedade Unipessoal, Lda.;63;Comp. revest.;0.03 mg + 0.075 mg;0;;;;
5994280;Estinette;8,15;Laboratórios EFFIK, Sociedade Unipessoal, Lda.;63;Comp. revest.;0.02 mg + 0.075 mg;0;;;;
5061874;Etinilestradiol + Gestodeno Generis;5,93;Generis Farmacêutica, S.A.;63;Comp. revest.;0.03 mg + 0.075 mg;0;;;;
5061858;Etinilestradiol + Gestodeno Generis;7,95;Generis Farmacêutica, S.A.;63;Comp. revest.;0.02 mg + 0.075 mg;0;;;;
5297130;Drosianelle;11;Sandoz Farmacêutica, Lda.;63;Comp. revest. p/ película;3 mg + 0.02 mg;0;;;;
5250451;Etinilestradiol + Levonorgestrel Generis;9,35;Generis Farmacêutica, S.A.;63;Comp. revest. p/ película;0.02 mg + 0.1 mg;0;;;;
5279179;Denille;11,53;Laboratórios EFFIK, Sociedade Unipessoal, Lda.;63;Comp. revest. p/ película;2 mg + 0.03 mg;0;;;;
5282132;Aranka;8,22;Gedeon Richter, Plc.;63;Comp. revest. p/ película;3 mg + 0.03 mg;0;;;;
5370135;Arankelle;11,45;Gedeon Richter, Plc.;63;Comp. revest. p/ película;3 mg + 0.02 mg;0;;;;
5347174;Clarissa;10,48;ITF Farmahealth, Produtos Farmacêuticos Lda.;63;Comp. revest. p/ película;2 mg + 0.03 mg;0;;;;
5435516;Desogestrel + Etinilestradiol Mylan;5,4;Mylan, Lda.;63;Comp.;0.15 mg + 0.03 mg;0;;;;
5435474;Desogestrel + Etinilestradiol Mylan;8,5;Mylan, Lda.;63;Comp.;0.15 mg + 0.02 mg;0;;;;
5619812;Drospirenona + Etinilestradiol Mylan;8,52;Mylan, Lda.;63;Comp. revest. p/ película;3 mg + 0.02 mg;0;;;;
5466305;Sibilla;11,08;Gedeon Richter, Plc.;63;Comp. revest. p/ película;2 mg + 0.03 mg;0;;;;
5473947;Effilevo;8,98;Laboratórios EFFIK, Sociedade Unipessoal, Lda.;63;Comp. revest. p/ película;0.02 mg + 0.1 mg;0;;;;
5606512;Chariva;10,6;Gedeon Richter, Plc.;63;Comp. revest. p/ película;2 mg + 0.03 mg;0;;;;
5597539;Etinilestradiol + Levonorgestrel Aurovitas;8,53;Generis Farmacêutica, S.A.;63;Comp. revest. p/ película;0.02 mg + 0.1 mg;0;;;;
5128020;Topiramato Cinfa;5,32;Cinfa Portugal,Lda.;60;Comp. revest. p/ película;25 mg;0;;;;
5128061;Topiramato Cinfa;11,51;Cinfa Portugal,Lda.;60;Comp. revest. p/ película;50 mg;0;;;;
5128129;Topiramato Cinfa;16,14;Cinfa Portugal,Lda.;60;Comp. revest. p/ película;100 mg;0;;;;
2843084;Fluoxetina Ratiopharm;11,8;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Cáps.;20 mg;0;;;;
4008983;Fluoxetina Mylan;9,97;Mylan, Lda.;60;Cáps.;20 mg;0;;;;
2637593;Ranitidina Generis 150 mg Comprimidos;9,5;Generis Farmacêutica, S.A.;60;Comp. revest.;150 mg;0;;;;
2943686;Fluoxetina Salipax 20 mg Cápsulas;6,68;Mepha - Investigação, Desenvolvimento e Fabricação Farmacêutica, Lda.;60;Cáps.;20 mg;0;;;;
2662591;Sucralfato Mylan;5,1;Mylan, Lda.;60;Susp. oral;1000 mg/5 ml;0;;;;
2665487;Atenolol Ratiopharm 50 mg Comprimidos Revestidos;4,05;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Comp. revest.;50 mg;0;;;;
2665685;Atenolol Ratiopharm 100 mg Comprimidos Revestidos;6,62;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Comp. revest.;100 mg;0;;;;
5833785;Diazepam Ratiopharm 10 mg Comprimidos;2,74;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Comp.;10 mg;0;;;;
2667780;Alopurinol Ciclum 300 mg Comprimidos;3,68;Ciclum Farma Unipessoal, Lda.;60;Comp.;300 mg;0;;;;
2705184;Maprotilina Ratiopharm 25 mg Comprimidos Revestidos;4,06;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Comp. revest.;25 mg;0;;;;
2705382;Maprotilina Ratiopharm 75 mg Comprimidos Revestidos;8,2;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Comp. revest.;75 mg;0;;;;
5505284;Furosemida Ratiopharm 40 mg Comprimidos;3,65;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Comp.;40 mg;0;;;;
3036084;Diclofenac Alter 50 mg Comprimidos;4,42;Alter, S.A.;60;Comp. revest.;50 mg;0;;;;
3067790;Lansoprazol Alexin;15,92;Farmoz - Sociedade Técnico Medicinal, S.A.;60;Cáps. gastrorresistente;30 mg;0;;;;
5577895;Alprazolam Prazam;3,74;Aristo Pharma Iberia, SL;60;Comp.;0.5 mg;0;;;;
2245397;Omeprazol Mepraz 20 mg Cápsula gastrorresistente;11,45;Baldacci - Portugal, S.A.;60;Cáps. gastrorresistente;20 mg;0;;;;
2175594;Omeprazol Proclor 20 mg Cápsulas Gastrorresistentes;8,25;Pentafarma - Sociedade Técnico-Medicinal, S.A.;60;Cáps. gastrorresistente;20 mg;0;;;;
2185999;Omeprazol Almus;5,9;Almus, Lda.;60;Cáps. gastrorresistente;20 mg;0;;;;
4012589;Ranitidina Ratiopharm;9,5;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Comp. revest. p/ película;150 mg;0;;;;
5672894;Captopril Carencil 50 mg Comprimidos;5,33;Jaba Recordati, S.A.;60;Comp. revest.;50 mg;0;;;;
3671898;Ticlopidina Trombopat 250 mg Comprimidos Revestidos;9,25;Pentafarma - Sociedade Técnico-Medicinal, S.A.;60;Comp. revest. p/ película;250 mg;0;;;;
2175792;Fluoxetina Tuneluz;10,99;Baldacci - Portugal, S.A.;60;Cáps.;20 mg;0;;;;
5683891;Captopril Almus;5,05;Almus, Lda.;60;Comp.;25 mg;0;;;;
5683990;Captopril Almus;5,88;Almus, Lda.;60;Comp.;50 mg;0;;;;
2203099;Ticlopidina GP;8,89;GP - Genéricos Portugueses, Lda.;60;Comp. revest. p/ película;250 mg;0;;;;
3094885;Ticlopidina-ratiopharm;8,85;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Comp. revest.;250 mg;0;;;;
5515481;Captopril ratiopharm 25 mg Comprimidos;5,05;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Comp.;25 mg;0;;;;
5515382;Captopril ratiopharm 50 mg Comprimidos;5,88;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Comp.;50 mg;0;;;;
3264082;Atenolol Alter 50 mg comprimidos;4,05;Alter, S.A.;60;Comp.;50 mg;0;;;;
3287083;Captopril e Hidroclorotiazida-Ratiopharm;8,72;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Comp.;50 mg + 25 mg;0;;;;
4121281;Diclofenac Ratiopharm;4,26;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Comp. gastrorresistente;50 mg;0;;;;
3431095;Fluoxetina Ciclum 20 mg Cápsulas;3,55;Ciclum Farma Unipessoal, Lda.;60;Cáps.;20 mg;0;;;;
3432085;Enalapril Ciclum 5 mg comprimidos;3,75;Ciclum Farma Unipessoal, Lda.;60;Comp.;5 mg;0;;;;
3584984;Lisinopril Ratiopharm 20 mg Comprimidos;8,63;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Comp.;20 mg;0;;;;
3785284;Paroxetina Mylan;8,45;Mylan, Lda.;60;Comp. revest. p/ película;20 mg;0;;;;
3983590;Gliclazida Labesfal 80 mg Comprimidos;4,55;Generis Farmacêutica, S.A.;60;Comp.;80 mg;0;;;;
5763990;Unilan;3,85;Laquifa - Laboratórios, S.A.;60;Comp.;0.25 mg;0;;;;
9682310;Alprazolam Pazolam 0,25 mg Comprimidos;3,85;Laboratórios Atral, S.A.;60;Comp.;0.25 mg;0;;;;
9682328;Alprazolam Pazolam 0,5 mg Comprimidos;4,74;Laboratórios Atral, S.A.;60;Comp.;0.5 mg;0;;;;
2491280;Captopril Mylan;5,05;Mylan, Lda.;60;Comp.;25 mg;0;;;;
2500882;Ranitidina Mylan;9,5;Mylan, Lda.;60;Comp. revest. p/ película;150 mg;0;;;;
2549798;Prilan;8,67;Confar - Consórcio Farmacêutico, Lda.;60;Comp.;20 mg;0;;;;
2584282;Alprazolam Mylan;3,86;Mylan, Lda.;60;Comp.;0.5 mg;0;;;;
2584480;Alprazolam Mylan;5,44;Mylan, Lda.;60;Comp.;1 mg;0;;;;
3809191;Omeprazol Farmoz 20 mg Cápsulas Duras;5,48;Farmoz - Sociedade Técnico Medicinal, S.A.;60;Cáps. gastrorresistente;20 mg;0;;;;
3464195;Lovastatina Labesfal 20 mg Comprimidos;4,72;Generis Farmacêutica, S.A.;60;Comp.;20 mg;0;;;;
2908895;Finasterida Farmoz 5 mg Comprimidos Revestidos;10,8;Farmoz - Sociedade Técnico Medicinal, S.A.;60;Comp. revest.;5 mg;0;;;;
2908291;Finasterida toLife 5 mg Comprimidos revestidos;11,88;ToLife - Produtos Farmacêuticos, S.A.;60;Comp. revest.;5 mg;0;;;;
3486792;Enalapril + Hidroclorotiazida Farmoz;8,7;Farmoz - Sociedade Técnico Medicinal, S.A.;60;Comp.;20 mg + 12.5 mg;0;;;;
3685096;Atenolol Generis 50 mg Comprimidos Revestidos;3,94;Generis Farmacêutica, S.A.;60;Comp. revest.;50 mg;0;;;;
3685294;Atenolol Generis 100 mg Comprimidos Revestidos;6,64;Generis Farmacêutica, S.A.;60;Comp. revest.;100 mg;0;;;;
3827995;Glimepirida Glimial;4,06;Sidefarma - Sociedade Industrial de Expansão Farmacêutica, S.A.;60;Comp.;2 mg;0;;;;
3828092;Glimepirida Glimial;5,88;Sidefarma - Sociedade Industrial de Expansão Farmacêutica, S.A.;60;Comp.;4 mg;0;;;;
3750486;Dislipina;9,23;Merck, S.A;60;Comp. revest. p/ película;20 mg;0;;;;
3750296;Dislipina;4,56;Merck, S.A;60;Comp. revest. p/ película;10 mg;0;;;;
3841293;Losartan + Hidroclorotiazida Farmoz;5,8;Farmoz - Sociedade Técnico Medicinal, S.A.;60;Comp. revest. p/ película;50 mg + 12.5 mg;0;;;;
3841491;Losartan + Hidroclorotiazida Tetrafarma;17,16;Tetrafarma - Produtos Farmacêuticos, Lda.;60;Comp. revest. p/ película;50 mg + 12.5 mg;0;;;;
3846599;Losartan Tetrafarma;18,64;Tetrafarma - Produtos Farmacêuticos, Lda.;60;Comp. revest. p/ película;100 mg;0;;;;
3262789;Atenolol Alter 100 mg comprimidos;6,53;Alter, S.A.;60;Comp.;100 mg;0;;;;
3357688;Enalapril Ratiopharm;3,85;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Comp.;5 mg;0;;;;
3583788;Lisinopril Ratiopharm 5 mg Comprimidos;5,41;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Comp.;5 mg;0;;;;
4028486;Sinvastatina Zentiva;7;Zentiva Portugal, Lda.;60;Comp. revest. p/ película;20 mg;0;;;;
3202983;Carbamazepina Generis 200 mg Comprimidos;3,85;Generis Farmacêutica, S.A.;60;Comp.;200 mg;0;;;;
3203189;Carbamazepina Generis 400 mg Comprimidos;5,57;Generis Farmacêutica, S.A.;60;Comp.;400 mg;0;;;;
3808599;Sinvastatina Baldacci 20 mg Comprimidos Revestidos Por Película;9,35;Baldacci - Portugal, S.A.;60;Comp. revest.;20 mg;0;;;;
2948396;Lansoprazol Tecnigen;4,85;Pentafarma - Sociedade Técnico-Medicinal, S.A.;60;Cáps. gastrorresistente;30 mg;0;;;;
2978195;Omeprazol Tecnigen;3,34;Pentafarma - Sociedade Técnico-Medicinal, S.A.;60;Cáps. gastrorresistente;20 mg;0;;;;
3892189;Atenolol Cinfa 100 mg Comprimidos;6,99;Cinfa Portugal,Lda.;60;Comp.;100 mg;0;;;;
3918380;Carbamazepina Labesfal 200 mg Comprimidos;3,69;Generis Farmacêutica, S.A.;60;Comp.;200 mg;0;;;;
3632189;Fluoxetina Teva 20 mg cápsulas;3,57;Teva Pharma - Produtos Farmacêuticos, Lda.;60;Cáps.;20 mg;0;;;;
3370483;Clozapina Generis;6,68;Generis Farmacêutica, S.A.;60;Comp.;25 mg;0;;;;
3371689;Clozapina Generis;19,06;Generis Farmacêutica, S.A.;60;Comp.;100 mg;0;;;;
3540788;Selegilina Generis 5 mg Comprimidos;8,98;Generis Farmacêutica, S.A.;60;Comp.;5 mg;0;;;;
2491488;Captopril Mylan;5,88;Mylan, Lda.;60;Comp.;50 mg;0;;;;
4065397;Tamoxifeno Farmoz 10 mg Comprimidos;8,78;Farmoz - Sociedade Técnico Medicinal, S.A.;60;Comp.;10 mg;0;;;;
5683693;Captopril Farmoz 25 mg Comprimidos;5,04;Farmoz - Sociedade Técnico Medicinal, S.A.;60;Comp.;25 mg;0;;;;
5683792;Captopril Farmoz 50 mg Comprimidos;5,88;Farmoz - Sociedade Técnico Medicinal, S.A.;60;Comp.;50 mg;0;;;;
4058384;Isotretinoína Aurovitas;33,39;Generis Farmacêutica, S.A.;60;Cáps. mole;20 mg;0;;;;
5914197;Sinvastatina Almus;8,31;Almus, Lda.;60;Comp. revest. p/ película;40 mg;0;;;;
4158184;Sinvastatina Generis;4,79;Generis Farmacêutica, S.A.;60;Comp. revest. p/ película;10 mg;0;;;;
4159182;Sinvastatina Generis;15,85;Generis Farmacêutica, S.A.;60;Comp. revest. p/ película;40 mg;0;;;;
4157186;Sinvastatina GP;5,23;GP - Genéricos Portugueses, Lda.;60;Comp. revest. p/ película;20 mg;0;;;;
4157681;Sinvastatina GP;8,31;GP - Genéricos Portugueses, Lda.;60;Comp. revest. p/ película;40 mg;0;;;;
5848692;Topiramato Generis Phar;8,41;Generis Farmacêutica, S.A.;60;Comp. revest. p/ película;25 mg;0;;;;
4043584;Sinvastatina Ratiopharm;9,7;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Comp. revest. p/ película;20 mg;0;;;;
4046488;Sinvastatina Ratiopharm;19,92;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Comp. revest. p/ película;40 mg;0;;;;
5763792;Unilan;5,99;Laquifa - Laboratórios, S.A.;60;Comp.;1 mg;0;;;;
5788385;Pravastatina Alter 10 mg Comprimidos;6,07;Alter, S.A.;60;Comp.;10 mg;0;;;;
4140182;Pravastatina Alter 20 mg Comprimidos;9,5;Alter, S.A.;60;Comp.;20 mg;0;;;;
5012737;Sinvastatina Baldacci 40 mg Comprimidos Revestidos Por Película;15,85;Baldacci - Portugal, S.A.;60;Comp. revest.;40 mg;0;;;;
4821781;Ticlopidina Generis 250 mg Comprimidos Revestidos;9,25;Generis Farmacêutica, S.A.;60;Comp. revest.;250 mg;0;;;;
5814488;Risperidona Generis;4,79;Generis Farmacêutica, S.A.;60;Comp. revest. p/ película;0.5 mg;0;;;;
4012787;Ranitidina Ratiopharm;17,42;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Comp. revest. p/ película;300 mg;0;;;;
3404589;Espironolactona Alter;9,09;Alter, S.A.;60;Comp. revest.;100 mg;0;;;;
3404688;Espironolactona Generis 100 mg Comprimidos;9,09;Generis Farmacêutica, S.A.;60;Comp. revest. p/ película;100 mg;0;;;;
3417292;Carvedilol Farmoz 6,25 mg Comprimidos;5,29;Farmoz - Sociedade Técnico Medicinal, S.A.;60;Comp.;6.25 mg;0;;;;
5423199;Carvedilol Farmoz 25 mg Comprimidos;10,68;Farmoz - Sociedade Técnico Medicinal, S.A.;60;Comp.;25 mg;0;;;;
3418597;Carvedilol Coronat 6,25 mg Comprimidos;5,87;Pentafarma - Sociedade Técnico-Medicinal, S.A.;60;Comp.;6.25 mg;0;;;;
5505094;Captopril Generis 25 mg Comprimidos;5,05;Generis Farmacêutica, S.A.;60;Comp.;25 mg;0;;;;
3545290;Captopril Generis 50 mg Comprimidos;5,88;Generis Farmacêutica, S.A.;60;Comp.;50 mg;0;;;;
5576780;Atenolol Mylan;4,05;Mylan, Lda.;60;Comp.;50 mg;0;;;;
3661691;Lisinopril Jaba 5 mg Comprimidos;2,64;Jaba Recordati, S.A.;60;Comp.;5 mg;0;;;;
3845799;Losartan Tiasar;7,9;Pentafarma - Sociedade Técnico-Medicinal, S.A.;60;Comp. revest. p/ película;50 mg;0;;;;
2305191;Ticlopidina Betlife 250 mg Comprimidos;8,85;Aristo Pharma Iberia, SL;60;Comp. revest.;250 mg;0;;;;
2584084;Alprazolam Mylan;3,85;Mylan, Lda.;60;Comp.;0.25 mg;0;;;;
5058391;Ranitidina Generis 300 mg Comprimidos;17,42;Generis Farmacêutica, S.A.;60;Comp. revest.;300 mg;0;;;;
5727789;Piroxicam Ratiopharm 20 mg Comprimidos;9,5;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Comp.;20 mg;0;;;;
3695889;Lisinopril Mepha 5 mg Comprimidos;2,75;Mepha - Investigação, Desenvolvimento e Fabricação Farmacêutica, Lda.;60;Comp.;5 mg;0;;;;
5996699;Captopril + Hidroclorotiazida Generis;8,72;Generis Farmacêutica, S.A.;60;Comp.;50 mg + 25 mg;0;;;;
4028882;Sinvastatina Zentiva;8,69;Zentiva Portugal, Lda.;60;Comp. revest. p/ película;40 mg;0;;;;
2663581;Amiloride + Hidroclorotiazida Ratiopharm 5 mg e 50 mg Comprimidos;4,53;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Comp.;50 mg + 5 mg;0;;;;
5833686;Diazepam Ratiopharm 5 mg Comprimidos;2,35;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Comp.;5 mg;0;;;;
5726690;Captopril Sandoz 25 mg Comprimidos;5,05;Sandoz Farmacêutica, Lda.;60;Comp.;25 mg;0;;;;
2688281;Ibuprofeno Ratiopharm 400 mg Comprimidos Revestidos;4,26;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;60;Comp. revest. p/ película;400 mg;0;;;;
